,index,year,exporter,importer,product,value,quantity
171,118022,2022,AUS,GEO,282410,12.659,5.51
172,119430,2022,AUS,DEU,780600,14.149,3.255
173,119843,2022,AUS,DEU,850710,0.873,0.025
174,119844,2022,AUS,DEU,850720,3.68,0.821
175,120437,2022,AUS,GHA,282410,340.481,120.0
176,120746,2022,AUS,GHA,780200,2.775,0.047
177,120747,2022,AUS,GHA,780411,13.19,0.505
178,120998,2022,AUS,GHA,850710,24.472,8.066
179,120999,2022,AUS,GHA,850720,8.81,1.965
180,121591,2022,AUS,KIR,850720,40.093,8.943
181,121993,2022,AUS,GRC,780191,1592.007,487.007
182,122105,2022,AUS,GRC,850720,2.136,0.477
183,122714,2022,AUS,GTM,850720,2.056,0.008
184,122840,2022,AUS,GIN,282410,63.059,20.0
185,122939,2022,AUS,GIN,780411,0.467,0.05
186,123037,2022,AUS,GIN,850720,9.957,2.221
187,124679,2022,AUS,HKG,780110,500.719,127.27
188,124680,2022,AUS,HKG,780411,254.408,70.404
189,124681,2022,AUS,HKG,780600,13.897,2.746
190,124968,2022,AUS,HKG,850720,15.235,3.098
191,127317,2022,AUS,IDN,260700,1196.0,4018.056
192,127597,2022,AUS,IDN,381111,3.822,2.15
193,128605,2022,AUS,IDN,780110,9612.677,4545.137
194,128606,2022,AUS,IDN,780419,0.788,0.016
195,128607,2022,AUS,IDN,780600,982.038,208.881
196,129069,2022,AUS,IDN,850710,85.475,17.341
197,129070,2022,AUS,IDN,850720,65.736,13.033
198,130003,2022,AUS,IRL,282410,65.885,21.6
199,130993,2022,AUS,IRL,780110,0.011,
200,131325,2022,AUS,IRL,850710,5.468,0.023
201,131326,2022,AUS,IRL,850720,0.1,0.002
202,133617,2022,AUS,ITA,780199,193.892,98.37
203,133905,2022,AUS,ITA,850720,39.087,8.719
204,134299,2022,AUS,CIV,282410,0.148,0.01
205,134552,2022,AUS,CIV,780411,0.291,0.021
206,134762,2022,AUS,CIV,850710,10.51,3.464
207,134763,2022,AUS,CIV,850720,11.159,2.489
208,135595,2022,AUS,JPN,260700,74117.433,32265.072
209,136556,2022,AUS,JPN,780110,15993.29,6780.117
210,136557,2022,AUS,JPN,780600,394.177,49.091
211,136922,2022,AUS,JPN,850720,177.423,39.577
212,137446,2022,AUS,KAZ,282410,608.711,249.937
213,138698,2022,AUS,KEN,721020,0.156,0.1
214,139654,2022,AUS,KOR,260700,181121.401,79404.699
215,140806,2022,AUS,KOR,780110,414.762,8.252
216,140807,2022,AUS,KOR,780191,5305.247,2492.139
217,140808,2022,AUS,KOR,780200,10842.349,1085.282
218,140809,2022,AUS,KOR,780419,0.119,0.021
219,140810,2022,AUS,KOR,780420,2840.286,4344.363
220,140811,2022,AUS,KOR,780600,10.322,0.074
221,141194,2022,AUS,KOR,850720,1.89,0.039
222,142659,2022,AUS,KGZ,282410,261.882,85.0
223,142759,2022,AUS,KGZ,850710,0.467,0.092
224,143104,2022,AUS,LAO,850720,13.851,3.09
225,143487,2022,AUS,LVA,282410,75.648,29.94
226,144299,2022,AUS,LTU,850720,1.002,0.223
227,147959,2022,AUS,MYS,780110,3885.898,1888.376
228,147960,2022,AUS,MYS,780200,211.123,107.046
229,147961,2022,AUS,MYS,780411,13.4,1.314
230,147962,2022,AUS,MYS,780419,2.081,0.322
231,148428,2022,AUS,MYS,850710,5.033,0.342
232,148429,2022,AUS,MYS,850720,16.264,5.212
233,150487,2022,AUS,MLI,850720,0.694,0.155
234,151412,2022,AUS,MRT,282410,26.235,10.398
235,152555,2022,AUS,MEX,780600,8729.464,
236,153820,2022,AUS,S19,780110,112.603,50.57
237,154070,2022,AUS,S19,850720,17.372,3.875
238,154754,2022,AUS,MNG,780199,1.627,0.009
239,154755,2022,AUS,MNG,780419,325.929,64.561
240,154756,2022,AUS,MNG,780600,371.337,
241,154980,2022,AUS,MNG,850710,0.805,0.011
242,155573,2022,AUS,MAR,850720,0.677,
243,156195,2022,AUS,OMN,850720,2.092,0.584
244,156827,2022,AUS,NAM,850710,0.877,0.289
245,157591,2022,AUS,NRU,780600,8.483,
246,157789,2022,AUS,NRU,850710,0.214,0.071
247,158896,2022,AUS,NLD,260700,2.321,0.068
248,159999,2022,AUS,NLD,780419,0.175,0.054
249,160000,2022,AUS,NLD,780600,9.356,0.603
250,160411,2022,AUS,NLD,850720,188.544,48.782
251,161831,2022,AUS,NCL,721020,102.913,9.71
252,161956,2022,AUS,NCL,780600,14.535,
253,162290,2022,AUS,NCL,850710,27.262,8.985
254,162291,2022,AUS,NCL,850720,66.03,14.729
255,163642,2022,AUS,VUT,850710,7.417,2.445
256,163643,2022,AUS,VUT,850720,12.97,2.893
257,164626,2022,AUS,NZL,282410,0.195,0.025
258,164627,2022,AUS,NZL,282490,166.653,86.8
259,166621,2022,AUS,NZL,721020,2.325,0.1
260,166920,2022,AUS,NZL,780110,943.888,392.532
261,166921,2022,AUS,NZL,780191,5.202,0.1
262,166922,2022,AUS,NZL,780200,83.756,15.493
263,166923,2022,AUS,NZL,780411,1.177,0.1
264,166924,2022,AUS,NZL,780419,0.581,0.02
265,166925,2022,AUS,NZL,780600,57.549,8.293
266,167597,2022,AUS,NZL,850710,989.269,176.417
267,167598,2022,AUS,NZL,850720,3245.557,794.432
268,169713,2022,AUS,NOR,282490,118.602,22.546
269,170314,2022,AUS,NOR,780191,109.546,25.05
270,171052,2022,AUS,FSM,850720,5.418,1.209
271,171569,2022,AUS,PAK,780200,49.942,20.0
272,171570,2022,AUS,PAK,780420,103.626,137.31
273,171725,2022,AUS,PAK,850710,0.181,0.067
274,171726,2022,AUS,PAK,850720,0.209,0.058
275,171788,2022,AUS,PAK,854911,388.57,562.43
276,172236,2022,AUS,PAN,850720,0.321,0.072
277,172864,2022,AUS,PNG,282490,15.034,0.82
278,174101,2022,AUS,PNG,780411,4.778,1.2
